checkpoint_label,checkpoint,sample,split,precision,recall,dice
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_27_y0512_x1280,train,0.948534,0.963668,0.956041
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_27_y0512_x1792,train,0.979058,0.947635,0.963090
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_27_y0768_x0512,train,0.956112,0.956112,0.956112
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_27_y1024_x0512,val,0.973585,0.802176,0.879608
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_27_y1024_x1792,train,0.887073,0.959293,0.921771
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_27_y1536_x1792,train,0.923005,0.939428,0.931144
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_27_y1792_x2048,train,0.920550,0.955977,0.937929
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_28_y0000_x1280,train,0.939613,0.902569,0.920719
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_29_y0512_x1024,test,0.791343,0.945455,0.861561
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_29_y0768_x0512,train,0.888166,0.932473,0.909781
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_29_y0768_x0768,val,0.823218,0.907882,0.863480
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_29_y1536_x0000,train,0.889042,0.904026,0.896472
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_31_y0512_x0768,train,0.954203,0.949598,0.951895
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,YOU_33_y2048_x1024,train,0.863294,0.914659,0.888235
